url;date;user;retweetedTweetUrl;retweetedTweetUser;mentionedUsers
https://twitter.com/Andyachmad17/status/1556524296125566977;08/08/2022;Andyachmad17;;;
https://twitter.com/andinaayunin/status/1556524273585750016;08/08/2022;andinaayunin;;;
https://twitter.com/anauchul17/status/1556524250776735750;08/08/2022;anauchul17;;;
https://twitter.com/AmaliaAditya1/status/1556524227276050433;08/08/2022;AmaliaAditya1;;;
https://twitter.com/AlyaDewiN/status/1556524204748550144;08/08/2022;AlyaDewiN;;;
https://twitter.com/alanjelani/status/1556524182216724480;08/08/2022;alanjelani;;;
https://twitter.com/akhmad_yn/status/1556524159324532736;08/08/2022;akhmad_yn;;;
https://twitter.com/acepshow/status/1556524113958957056;08/08/2022;acepshow;;;
https://twitter.com/aarivino/status/1556524091422560257;08/08/2022;aarivino;;;
https://twitter.com/zaprul/status/1556524068777885697;08/08/2022;zaprul;;;
https://twitter.com/ZafinaDian/status/1556524022518558722;08/08/2022;ZafinaDian;;;
https://twitter.com/gamburisu007/status/1556522884582936576;08/08/2022;gamburisu007;;;
https://twitter.com/athayamayori/status/1556522797031010310;08/08/2022;athayamayori;;;
https://twitter.com/armi_mie/status/1556522774294073344;08/08/2022;armi_mie;;;
https://twitter.com/ana_arnessa/status/1556522751653191682;08/08/2022;ana_arnessa;;;
https://twitter.com/asrilestari46/status/1556522728731328512;08/08/2022;asrilestari46;;;
https://twitter.com/asidopratama/status/1556522706149187584;08/08/2022;asidopratama;;;
https://twitter.com/ashrafshazwan/status/1556522683520536577;08/08/2022;ashrafshazwan;;;
https://twitter.com/AsteridaPravita/status/1556522660942663680;08/08/2022;AsteridaPravita;;;
https://twitter.com/assi_fade/status/1556522638305943552;08/08/2022;assi_fade;;;
https://twitter.com/asniepakaya/status/1556522615690653697;08/08/2022;asniepakaya;;;
https://twitter.com/asmahbambang/status/1556522592751992832;08/08/2022;asmahbambang;;;
https://twitter.com/Asiyah_Naya/status/1556522570253357056;08/08/2022;Asiyah_Naya;;;
https://twitter.com/asiah_hamid/status/1556522547755483136;08/08/2022;asiah_hamid;;;
https://twitter.com/asiadabarbie/status/1556522525219495937;08/08/2022;asiadabarbie;;;
https://twitter.com/AsepGonzales/status/1556522502809337856;08/08/2022;AsepGonzales;;;
https://twitter.com/ardimiraldi/status/1556522480168480768;08/08/2022;ardimiraldi;;;
https://twitter.com/Asti_alfiani/status/1556522412728262656;08/08/2022;Asti_alfiani;;;
https://twitter.com/asri_nursifa/status/1556522390250995712;08/08/2022;asri_nursifa;;;
https://twitter.com/Asminovianti/status/1556522345049001984;08/08/2022;Asminovianti;;;
https://twitter.com/ashbone89/status/1556522299964067840;08/08/2022;ashbone89;;;
https://twitter.com/AsepSHamdani/status/1556522277457776640;08/08/2022;AsepSHamdani;;;
https://twitter.com/asepkurniawan06/status/1556522254946537473;08/08/2022;asepkurniawan06;;;
https://twitter.com/asepbrutallity/status/1556522232259952643;08/08/2022;asepbrutallity;;;
https://twitter.com/asepbewoks/status/1556522209807843331;08/08/2022;asepbewoks;;;
